Title,Year,Genre,Origin,Director,Star
Persona,1966,Drama,Sweden,Ingmar Bergman,Bibi Andersson
Salinui chueok,2003,Thriller,South Korea,Joon-ho Bong,Song Kang-ho
Ben-Hur,1959,History,USA,William Wyler,Charlton Heston
Hotel Rwanda,2004,History,South Africa,Terry George,Don Cheadle
12 Years a Slave,2013,History,USA,Steve McQueen,Chiwetel Ejiofor
Million Dollar Baby,2004,Drama,USA,Clint Eastwood,Hilary Swank
La passion de Jeanne d'Arc,1928,History,France,Carl Theodor Dreyer,Maria Falconett
Rush,2013,Drama,Germany,Ron Howard,Daniel Brühl
Andrey Rublev,1966,History,Soviet Union,Andrei Tarkovsky,Anatoliy Solonitsyn
Le salaire de la peur,1953,Drama,Italy,Henri-Georges Clouzot,Yves Montand
Before Sunrise,1995,Romance,Switzerland,Richard Linklater,Ethan Hawke
Mad Max: Fury Road,2015,Adventure,USA,George Miller,Tom Hardy
Les quatre cents coups,1959,Drama,France,François Truffaut,Jean-Pierre Léaud
Prisoners,2013,Drama,USA,Denis Villeneuve,Hugh Jackman
Hachi: A Dog's Tale,2009,Drama,USA,Lasse Hallström,Richard Gere
Spotlight,2015,Drama,USA,Tom McCarthy,Mark Ruffalo
Logan,2017,Drama,USA,James Mangold,Hugh Jackman
Rang De Basanti,2006,Drama,India,Rakeysh Omprakash Mehra,Aamir Khan
Amores perros,2000,Drama,Mexico,Alejandro G. Iñárritu,Emilio Echevarría
The Princess Bride,1987,Romance,USA,Rob Reiner,Cary Elwes
Catch Me If You Can,2002,Drama,Canada,Steven Spielberg,Leonardo DiCaprio
Kaze no tani no Naushika,1984,Adventure,Japan,Hayao Miyazaki,Sumi Shimamoto
Harry Potter and the Deathly Hallows: Part 2,2011,Drama,USA,David Yates,Daniel Radcliffe
Butch Cassidy and the Sundance Kid,1969,Western,USA,George Roy Hill,Paul Newma
Rocky,1976,Drama,USA,John G. Avildsen,Sylvester Stallone
Barry Lyndon,1975,War,USA,Stanley Kubrick,Ryan O'Neal
"Monsters, Inc.",2001,Comedy,USA,Pete Docter,Billy Crystal
The Grapes of Wrath,1940,Drama,USA,John Ford,Henry Fonda
The Maltese Falcon,1941,Mystery,USA,John Huston,Humphrey Bogart
Dead Poets Society,1989,Drama,USA,Peter Weir,Robin Williams
Donnie Darko,2001,Drama,USA,Richard Kelly,Jake Gyllenhaal
The Terminator,1984,Action,USA,James Cameron,Arnold Schwarzenegger
Gandhi,1982,Drama,India,Richard Attenborough,Ben Kingsley
Les diaboliques,1955,Thriller,France,Henri-Georges Clouzot,Simone Signoret
La haine,1995,Drama,France,Mathieu Kassovitz,Vincent Cassel
Groundhog Day,1993,Comedy,USA,Harold Ramis,Bill Murray
The Wizard of Oz,1939,Fantasy,USA,Victor Fleming,Judy Garland
Jaws,1975,Drama,USA,Steven Spielberg,Roy Scheider
Le notti di Cabiria,1957,Drama,Italy,Federico Fellini,Giulietta Masina
The Help,2011,Drama,India,Tate Taylor,Viola Davis
Faa yeung nin wa,2000,Romance,Hong Kong,Kar-Wai Wong,"Tony Leung Chiu-wai,"
Mandariinid,2013,Drama,Georgia,Zaza Urushadze,Lembit Ulfsak
Before Sunset,2004,Romance,USA,Richard Linklater,Ethan Hawke
Paper Moon,1973,Drama,USA,Peter Bogdanovich,Ryan O'Neal
Ah-ga-ssi,2016,Romance,South Korea,Chan-wook Park,Kim Min-hee
"Paris, Texas",1984,Drama,West Germany,Wim Wenders,Harry Dean Stanton
The Best Years of Our Lives,1946,Romance,USA,William Wyler,Myrna Loy
Tenkû no shiro Rapyuta,1986,Drama,Japan,Hayao Miyazaki,Mayumi Tanaka
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Adventure,USA,Gore Verbinski,Johnny Depp
Blade Runner 2049,2017,Drama,Canada,Denis Villeneuve,Ryan Gosling
La La Land,2016,Comedy,Hong Kong,Damien Chazelle,Ryan Gosling
Guardians of the Galaxy,2014,Adventure,USA,James Gunn,Chris Pratt
Fanny och Alexander,1982,Drama,Sweden,Ingmar Bergman,Bertil Guve
Tsubaki Sanjûrô,1962,Drama,Japan,Akira Kurosawa,Toshirô Mifune
Gangs of Wasseypur,2012,Comedy,India,Anurag Kashyap,Manoj Bajpayee
Drishyam ,2015,Drama,India,Nishikant Kamat,Ajay Devgn
